timestamp,type,killerId,killerTeam,x,y,killType
266635,CHAMPION_KILL,6,Red,2341,12301,2_KILL
266635,CHAMPION_SPECIAL_KILL,6,Red,2203,12544,KILL_FIRST_BLOOD
271424,CHAMPION_KILL,10,Red,10644,890,5_KILL
283777,CHAMPION_KILL,0,No team,1846,11285,6_KILL
298180,CHAMPION_KILL,4,Blue,10359,1325,9_KILL
304926,CHAMPION_KILL,10,Red,10965,1081,4_KILL
310247,TURRET_PLATE_DESTROYED,0,Red,10504,1029,TURRET_PLATE
321610,CHAMPION_KILL,5,Blue,10234,882,10_KILL
351108,CHAMPION_KILL,7,Red,6763,6289,3_KILL
396005,CHAMPION_KILL,2,Blue,11699,3436,9_KILL
396170,CHAMPION_KILL,7,Red,11514,3406,4_KILL
448997,CHAMPION_KILL,2,Blue,13695,3587,10_KILL
464422,CHAMPION_KILL,1,Blue,3554,12900,6_KILL
466405,CHAMPION_KILL,7,Red,3489,12889,1_KILL
505742,CHAMPION_KILL,2,Blue,8334,8459,8_KILL
519846,CHAMPION_KILL,9,Red,6804,7526,3_KILL
565468,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
612048,CHAMPION_KILL,2,Blue,8091,8132,10_KILL
629324,TURRET_PLATE_DESTROYED,0,Blue,13866,4505,TURRET_PLATE
643067,CHAMPION_KILL,7,Red,11538,7076,2_KILL
647427,CHAMPION_KILL,7,Red,11212,6276,5_KILL
647427,CHAMPION_SPECIAL_KILL,7,Red,11279,6350,KILL_MULTI
647758,CHAMPION_KILL,5,Blue,11321,6230,7_KILL
652647,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
705379,CHAMPION_KILL,8,Red,5254,5467,3_KILL
710303,CHAMPION_KILL,2,Blue,6609,6806,8_KILL
746372,ELITE_MONSTER_KILL,2,Blue,4012,10026,RIFTHERALD
754762,ELITE_MONSTER_KILL,7,Red,10076,4617,DRAGON
779141,TURRET_PLATE_DESTROYED,0,Red,10504,1029,TURRET_PLATE
780235,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
792522,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
792522,TURRET_PLATE_DESTROYED,0,Blue,4318,13875,TURRET_PLATE
792522,BUILDING_KILL,2,Blue,4318,13875,TOWER_BUILDING
797773,TURRET_PLATE_DESTROYED,0,Red,5846,6396,TURRET_PLATE
798863,TURRET_PLATE_DESTROYED,0,Red,10504,1029,TURRET_PLATE
806130,TURRET_PLATE_DESTROYED,0,Red,10504,1029,TURRET_PLATE
816172,TURRET_PLATE_DESTROYED,0,Red,10504,1029,TURRET_PLATE
816172,BUILDING_KILL,9,Red,10504,1029,TOWER_BUILDING
851452,CHAMPION_KILL,2,Blue,8694,8619,8_KILL
871335,CHAMPION_KILL,7,Red,10064,5917,2_KILL
875959,CHAMPION_KILL,9,Red,8495,6063,3_KILL
877743,CHAMPION_KILL,6,Red,8362,5960,5_KILL
901622,BUILDING_KILL,1,Blue,7943,13411,TOWER_BUILDING
902150,BUILDING_KILL,9,Red,5846,6396,TOWER_BUILDING
1047011,CHAMPION_KILL,9,Red,8184,6166,2_KILL
1054542,CHAMPION_KILL,7,Red,8575,6354,4_KILL
1057778,CHAMPION_KILL,7,Red,8249,6431,1_KILL
1057778,CHAMPION_SPECIAL_KILL,7,Red,8255,6353,KILL_MULTI
1068879,CHAMPION_KILL,6,Red,4641,4810,3_KILL
1074296,CHAMPION_KILL,8,Red,4349,4086,5_KILL
1074296,CHAMPION_SPECIAL_KILL,8,Red,4032,4556,KILL_ACE
1076609,ELITE_MONSTER_KILL,7,Red,10014,5085,DRAGON
1084110,BUILDING_KILL,0,Red,5048,4812,TOWER_BUILDING
1164242,CHAMPION_KILL,6,Red,1197,10652,3_KILL
1185250,CHAMPION_KILL,2,Blue,12985,5682,8_KILL
1195095,ELITE_MONSTER_KILL,0,No team,4656,9664,RIFTHERALD
1201965,BUILDING_KILL,6,Red,981,10441,TOWER_BUILDING
1207513,CHAMPION_KILL,2,Blue,7459,7111,10_KILL
1216299,BUILDING_KILL,0,Blue,13866,4505,TOWER_BUILDING
1226278,CHAMPION_KILL,7,Red,13742,3857,1_KILL
1280925,CHAMPION_KILL,2,Blue,1134,12727,8_KILL
1333841,CHAMPION_KILL,2,Blue,2450,9688,7_KILL
1342561,CHAMPION_KILL,6,Red,5032,3020,3_KILL
1358284,CHAMPION_KILL,6,Red,4544,10028,4_KILL
1364297,CHAMPION_KILL,1,Blue,4428,9272,6_KILL
1366841,CHAMPION_KILL,1,Blue,4821,8644,9_KILL
1366841,CHAMPION_SPECIAL_KILL,1,Blue,4824,8551,KILL_MULTI
1371498,CHAMPION_KILL,1,Blue,3985,10383,8_KILL
1371498,CHAMPION_SPECIAL_KILL,1,Blue,4056,10190,KILL_MULTI
1401063,ELITE_MONSTER_KILL,7,Red,5007,10471,BARON_NASHOR
1405158,CHAMPION_KILL,2,Blue,4836,9895,7_KILL
1429736,ELITE_MONSTER_KILL,1,Blue,9866,4414,DRAGON
1506614,CHAMPION_KILL,4,Blue,8408,8130,7_KILL
1511601,BUILDING_KILL,4,Blue,8955,8510,TOWER_BUILDING
1537265,BUILDING_KILL,1,Blue,9767,10113,TOWER_BUILDING
1550152,CHAMPION_KILL,4,Blue,10106,8383,10_KILL
1562275,CHAMPION_KILL,2,Blue,9695,11994,8_KILL
1567889,CHAMPION_KILL,2,Blue,11294,11738,9_KILL
1567889,CHAMPION_SPECIAL_KILL,2,Blue,10992,12272,KILL_MULTI
1574826,BUILDING_KILL,2,Blue,11134,11207,TOWER_BUILDING
1579155,BUILDING_KILL,4,Blue,11603,11667,INHIBITOR_BUILDING
1589660,CHAMPION_KILL,2,Blue,13484,12758,6_KILL
